"","ARU.ID","ARU.Name","Date","Hour","Minute","Second","Species","Confidence","File"
"202","67000","UF3-9",2024-05-29,6,2,33,"Hooded Warbler",0.155757009983063,"20240529_060200-216849753.flac"
"203","67000","UF3-9",2024-05-29,6,3,24,"Hooded Warbler",0.159516647458076,"20240529_060300-216849754.flac"
"204","67000","UF3-9",2024-05-29,6,4,12,"Hooded Warbler",0.187852337956429,"20240529_060400-216849755.flac"
"205","67000","UF3-9",2024-05-29,6,4,18,"Hooded Warbler",0.150816917419434,"20240529_060400-216849755.flac"
"206","67000","UF3-9",2024-05-29,7,4,57,"Hooded Warbler",0.174418359994888,"20240529_070400-216849836.flac"
"207","67000","UF3-9",2024-05-29,8,0,12,"Hooded Warbler",0.301629692316055,"20240529_080000-216849868.flac"
"208","67000","UF3-9",2024-05-30,7,0,57,"Hooded Warbler",0.170992210507393,"20240530_070000-216849686.flac"
"209","67000","UF3-9",2024-05-30,7,1,48,"Hooded Warbler",0.181012630462646,"20240530_070100-216849687.flac"
"210","67000","UF3-9",2024-05-30,7,4,21,"Hooded Warbler",0.236404865980148,"20240530_070400-216849690.flac"
"211","67000","UF3-9",2024-05-31,6,0,15,"Hooded Warbler",0.213691249489784,"20240531_060000-216849963.flac"
"212","67000","UF3-9",2024-05-31,6,0,30,"Hooded Warbler",0.193829670548439,"20240531_060000-216849963.flac"
"213","67000","UF3-9",2024-05-31,6,0,42,"Hooded Warbler",0.235129818320274,"20240531_060000-216849963.flac"
"214","67000","UF3-9",2024-05-31,6,1,27,"Hooded Warbler",0.318432539701462,"20240531_060100-216849964.flac"
"215","67000","UF3-9",2024-05-31,6,1,42,"Hooded Warbler",0.159585133194923,"20240531_060100-216849964.flac"
"216","67000","UF3-9",2024-05-31,6,3,33,"Hooded Warbler",0.163704812526703,"20240531_060300-216849966.flac"
"217","67000","UF3-9",2024-05-31,6,4,0,"Hooded Warbler",0.168578490614891,"20240531_060400-216849967.flac"
"218","67000","UF3-9",2024-05-31,7,0,54,"Hooded Warbler",0.223716408014297,"20240531_070000-216849580.flac"
"219","67000","UF3-9",2024-06-01,6,0,21,"Hooded Warbler",0.151745587587357,"20240601_060000-216849883.flac"
"220","67000","UF3-9",2024-06-01,6,0,27,"Hooded Warbler",0.168657839298248,"20240601_060000-216849883.flac"
"221","67000","UF3-9",2024-06-01,6,0,30,"Hooded Warbler",0.196912884712219,"20240601_060000-216849883.flac"
"222","67000","UF3-9",2024-06-01,6,0,57,"Hooded Warbler",0.212581172585487,"20240601_060000-216849883.flac"
"223","67000","UF3-9",2024-06-01,6,1,0,"Hooded Warbler",0.182018056511879,"20240601_060100-216849884.flac"
"224","67000","UF3-9",2024-06-01,6,1,3,"Hooded Warbler",0.241722300648689,"20240601_060100-216849884.flac"
"225","67000","UF3-9",2024-06-01,6,1,9,"Hooded Warbler",0.152335464954376,"20240601_060100-216849884.flac"
"226","67000","UF3-9",2024-06-01,6,1,12,"Hooded Warbler",0.159970641136169,"20240601_060100-216849884.flac"
"227","67000","UF3-9",2024-06-01,6,1,21,"Hooded Warbler",0.163716971874237,"20240601_060100-216849884.flac"
"228","67000","UF3-9",2024-06-01,6,2,0,"Hooded Warbler",0.193651214241982,"20240601_060200-216849885.flac"
"229","67000","UF3-9",2024-06-01,6,3,21,"Hooded Warbler",0.159702867269516,"20240601_060300-216849886.flac"
"230","67000","UF3-9",2024-06-01,6,3,24,"Hooded Warbler",0.174742385745049,"20240601_060300-216849886.flac"
"231","67000","UF3-9",2024-06-01,7,0,18,"Hooded Warbler",0.15280956029892,"20240601_070000-216849948.flac"
"232","67000","UF3-9",2024-06-01,7,0,27,"Hooded Warbler",0.168337240815163,"20240601_070000-216849948.flac"
"233","67000","UF3-9",2024-06-01,7,0,39,"Hooded Warbler",0.239617630839348,"20240601_070000-216849948.flac"
